rowid,toi,toipfx,tid,ctoi_alias,pl_pnum,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmrasymerr,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,st_pmdecsymerr,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_tranmidsymerr,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpersymerr,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandurhsymerr,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandepsymerr,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radesymerr,pl_insol,pl_eqt,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_tmagsymerr,st_dist,st_disterr1,st_disterr2,st_distlim,st_distsymerr,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffsymerr,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_loggsymerr,st_rad,st_raderr1,st_raderr2,st_radlim,st_radsymerr,toi_created,rowupdate,target,eng_period_duration_ratio,eng_prad_srad_ratio,eng_transit_shape,eng_duration_period_ratio,eng_stellar_density,eng_transit_probability,eng_temp_ratio,eng_signal_quality,eng_habitable_zone
1,1000.01,1000,50365310,50365310.01,1,FP,07h29m25.85s,112.357708,-12d41m45.46s,-12.69596,-5.964,0.085,-0.085,0.0,1.0,-0.076,0.072,-0.072,0.0,1.0,2459229.630046,0.001657,-0.001657,0,1,2.1713484,0.0002637,-0.0002637,0,1,2.0172196,0.3195879,-0.3195879,0,1,656.8860989,37.77821,-37.77821,0,1,5.8181633,1.9105465,-1.9105465,0,1,22601.9485814,3127.2040524,9.604,0.013,-0.013,0,1,485.735,11.9515,-11.9515,0,1,10249.0,264.7,-264.7,0,1,4.19,0.07,-0.07,0,1,2.16986,0.0725729,-0.0725729,0,1,2019-07-24 15:58:33,2024-09-09 10:08:01,0.0,25.83375731625848,0.0245995801361048,12.705502805484167,0.0387090421171778,17241.010900116686,1.294033060252378,0.3051228463654991,0.0945997680112336,0
3,1002.01,1002,124709665,124709665.01,1,FP,06h58m54.47s,104.726966,-10d34m49.64s,-10.580455,-1.462,0.206,-0.206,0.0,1.0,-2.249,0.206,-0.206,0.0,1.0,2459224.687802,0.000625,-0.000625,0,1,1.8675574,3e-06,-3e-06,0,1,1.408,0.184,-0.184,0,1,1500.0,1.7584,-1.7584,0,1,23.7529,0.6874487,-0.6874487,0,1,2860.61,2037.0,9.299501,0.058,-0.058,0,1,943.109,106.333,-106.333,0,1,8924.0,124.0,-124.0,0,1,4.35,0.0853377,-0.0853377,0,1,5.73,0.06,-0.06,0,1,2019-07-24 15:58:33,2022-07-11 16:02:02,0.0,31.833364772727272,0.0380308051939734,27.506983992950406,0.0314135815406084,32258.757615508955,3.778377236113839,0.2282608695652173,0.2859504991998861,0
4,1003.01,1003,106997505,106997505.01,1,FP,07h22m14.39s,110.559945,-25d12m25.26s,-25.207017,-0.939,0.041,-0.041,0.0,1.0,1.64,0.055,-0.055,0.0,1.0,2458493.3957,0.00535,-0.00535,0,1,2.74323,0.00108,-0.00108,0,1,3.167,0.642,-0.642,0,1,383.41,0.781988,-0.781988,0,1,9.7575887,0.6874487,-0.6874487,0,1,1177.36,1631.0,9.3003,0.037,-0.037,0,1,7728.17,1899.57,-1899.57,0,1,5388.5,567.0,-567.0,0,1,4.15,1.64,-1.64,0,1,1.21069,0.06,-0.06,0,1,2019-07-24 15:58:33,2022-02-23 10:10:02,0.0,20.788607514998425,0.0739406143482816,6.182778023235634,0.0481032699895135,8984.133563203924,0.6178145625521427,0.3026816368191519,0.0730370857065046,0
5,1004.01,1004,238597883,238597883.01,1,FP,08h08m42.77s,122.178195,-48d48m10.12s,-48.802811,-4.496,0.069,-0.069,0.0,1.0,9.347,0.062,-0.062,0.0,1.0,2459987.047262,0.003748,-0.003748,0,1,3.5730141,1.28e-05,-1.28e-05,0,1,3.37,1.029,-1.029,0,1,755.0,1306.55,-1306.55,0,1,11.3113,3.24714,-3.24714,0,1,54679.3,4260.0,9.1355,0.006,-0.006,0,1,356.437,4.6175,-4.6175,0,1,9219.0,171.1,-171.1,0,1,4.14,0.07,-0.07,0,1,2.15,0.06,-0.06,0,1,2019-07-24 15:58:33,2024-09-09 10:08:01,0.0,25.445797744807123,0.0482666951141455,8.153490601800645,0.0392992198566097,16475.864539604332,0.9199169898885854,0.4620891636836967,0.1673967229020298,0
6,1005.01,1005,169904935,169904935.01,1,FP,08h02m49.15s,120.704811,-11d06m05.48s,-11.101521,-26.932,1.935,-1.935,0.0,1.0,-2.901,2.06,-2.06,0.0,1.0,2459985.156855,0.000581,-0.000581,0,1,4.5505945,3.1e-06,-3.1e-06,0,1,2.654,0.339,-0.339,0,1,3731.0,123.723,-123.723,0,1,7.10841,0.474611,-0.474611,0,1,414.775,1257.0,9.1309,0.006,-0.006,0,1,100.711,14.121,-14.121,0,1,5613.0,179.9,-179.9,0,1,4.35,0.0853377,-0.0853377,0,1,1.09,0.07,-0.07,0,1,2019-07-24 15:58:33,2025-07-08 10:08:01,0.0,41.15081688018086,0.0598300648093594,23.01503851405494,0.0243008541704459,69684.37068214807,0.3969304405879957,0.2239444147514698,0.830740242666654,0
7,1006.01,1006,156115721,156115721.01,1,FP,08h17m26.22s,124.359239,-27d16m24.68s,-27.273521,-29.1,2.6,-2.6,0.0,1.0,-6.8,2.2,-2.2,0.0,1.0,2459229.984579,0.002159,-0.002159,0,1,2.5047918,0.0004076,-0.0004076,0,1,4.3797563,0.1036554,-0.1036554,0,1,2270.5402194,81.38088,-81.38088,0,1,8.6950898,8.438766,-8.438766,0,1,1750.932635,1649.8220699,9.2386,0.006,-0.006,0,1,273.696,2.504,-2.504,0,1,6616.0,200.0,-200.0,0,1,4.35,0.0853377,-0.0853377,0,1,1.53429,1.4887,-1.4887,0,1,2019-07-24 15:58:33,2021-10-29 12:59:15,0.0,13.725650260495083,0.0519924304108388,10.879643219528194,0.0728562932189946,2585.822950217182,0.8318781153307349,0.2493685111698912,0.4578141369387455,0
9,1008.01,1008,440801822,440801822.01,1,FP,07h17m31.88s,109.382839,+13d23m42.79s,13.395219,-17.9,1.1,-1.1,0.0,1.0,1.3,1.0,-1.0,0.0,1.0,2460258.236122,0.002805,-0.002805,0,1,2.0483755,5.5e-06,-5.5e-06,0,1,2.767,0.861,-0.861,0,1,483.0,41.94,-41.94,0,1,3.19621,0.6874487,-0.6874487,0,1,5644.4,1265.0,8.9362,0.012,-0.012,0,1,144.297,2.504,-2.504,0,1,6858.5,584.6,-584.6,0,1,4.2,1.9,-1.9,0,1,1.57,0.06,-0.06,0,1,2019-07-24 15:58:33,2023-12-08 16:02:02,0.0,17.766899891579328,0.0186770875942266,7.942631360981537,0.0562844393846082,5608.348154636212,0.9734043228363954,0.1844426623897353,0.1286669868711304,0
11,101.01,101,231663901,231663901.01,1,KP,21h14m56.88s,318.737012,-55d52m18.71s,-55.871863,12.641,0.044,-0.044,0.0,1.0,-16.011,0.041,-0.041,0.0,1.0,2458326.009117,0.000132,-0.000132,0,1,1.4303699,8e-07,-8e-07,0,1,1.6165994,0.0192089,-0.0192089,0,1,18960.7122944,184.79134,-184.79134,0,1,13.1874503,0.6576402,-0.6576402,0,1,1281.2408254,1525.9048089,12.4069,0.006,-0.006,0,1,375.31,4.411,-4.411,0,1,5600.0,131.1,-131.1,0,1,4.48851,0.0853377,-0.0853377,0,1,0.890774,0.0438467,-0.0438467,0,1,2018-09-05 18:49:20,2024-09-06 10:08:02,1.0,21.23524083950545,0.1358209630824511,85.17750426455699,0.047091530892347,9575.72295839469,0.7016738486085528,0.2724830015892857,0.2065830325484671,0
12,1010.01,1010,139853601,139853601.01,1,FP,07h29m10.56s,112.293981,-21d49m58.48s,-21.832912,-5.746,0.176,-0.176,0.0,1.0,4.502,0.261,-0.261,0.0,1.0,2459228.878101,0.000791,-0.000791,0,1,0.6808702,3.9e-05,-3.9e-05,0,1,2.4634563,0.0557065,-0.0557065,0,1,1507.8006889,39.971123,-39.971123,0,1,5.9115908,1.5360428,-1.5360428,0,1,87140.6995884,4382.0266062,8.45086,0.006,-0.006,0,1,485.122,36.246,-36.246,0,1,9438.0,782.0,-782.0,0,1,4.35,0.0853377,-0.0853377,0,1,1.0,0.06,-0.06,0,1,2019-07-24 15:58:33,2021-10-29 12:59:15,0.0,6.633316288176088,0.0542347779816513,15.762572825878872,0.1507541562253715,291.8717870252452,1.292083108432197,0.4642961015257469,0.6280582682857867,0
15,1013.01,1013,97700520,97700520.01,1,FP,07h09m08.66s,107.286063,-31d56m00.68s,-31.933523,-3.973,0.063,-0.063,0.0,1.0,7.061,0.071,-0.071,0.0,1.0,2459232.248322,0.000512,-0.000512,0,1,5.4255548,0.0002073,-0.0002073,0,1,3.9637474,0.0211401,-0.0211401,0,1,14939.6342222,238.97354,-238.97354,0,1,9.7575887,0.6874487,-0.6874487,0,1,273.5880696,1037.2753045,7.6095,0.006,-0.006,0,1,510.295,9.32,-9.32,0,1,8868.7,809.8,-809.8,0,1,4.35,0.0853377,-0.0853377,0,1,1.21069,0.06,-0.06,0,1,2019-07-24 15:58:33,2021-10-29 12:59:15,0.0,32.8510629108202,0.0739406143482816,30.836424248036945,0.0304404153593042,35452.61526928566,0.39210602807843,0.1169591151465265,13.50641110269521,0
16,1014.01,1014,96246348,96246348.01,1,FP,06h54m14.78s,103.561602,-34d13m22.15s,-34.22282,-13.063,0.078,-0.078,0.0,1.0,9.737,0.141,-0.141,0.0,1.0,2459985.657041,0.000309,-0.000309,0,1,1.4095184,2.3e-06,-2.3e-06,0,1,0.9484999,0.0413901,-0.0413901,0,1,2841.5103258,51.88166,-51.88166,0,1,9.7575887,0.6874487,-0.6874487,0,1,1650.422071,1625.6180218,7.678,0.012,-0.012,0,1,224.672,2.8445,-2.8445,0,1,9307.0,938.9,-938.9,0,1,4.35,0.0853377,-0.0853377,0,1,1.21069,0.06,-0.06,0,1,2019-07-24 15:58:33,2023-11-20 10:08:02,0.0,35.66520312759126,0.0739406143482816,56.20013125329822,0.0280385337053185,45366.37783919001,0.9630580273350792,0.1746661675942838,2.411844137225733,0
17,1015.01,1015,155044736,155044736.01,1,FP,08h11m35.03s,122.895964,-27d58m18.83s,-27.971896,1.566,0.052,-0.052,0.0,1.0,-17.974,0.053,-0.053,0.0,1.0,2459963.610065,0.004221,-0.004221,0,1,1.3730466,6.7e-06,-6.7e-06,0,1,2.5708515,0.1950537,-0.1950537,0,1,1301.5065338,96.64637,-96.64637,0,1,42.1479417,46.48904,-46.48904,0,1,3160.6328329,1912.3318636,10.7069,0.008,-0.008,0,1,906.496,28.8415,-28.8415,0,1,4897.0,122.0,-122.0,0,1,4.35,0.0853377,-0.0853377,0,1,6.7996101,0.06,-0.06,0,1,2019-04-01 16:51:56,2023-12-20 16:02:19,0.0,12.817978167933854,0.0568677260215528,14.032859762711473,0.0780154238756354,2106.001046351307,5.50419517904731,0.3905108972023687,0.0678713289092906,0
18,1016.01,1016,175310067,175310067.01,1,FP,07h44m26.59s,116.110771,-36d05m53.83s,-36.098285,-9.231,0.048,-0.048,0.0,1.0,11.614,0.052,-0.052,0.0,1.0,2459238.831138,0.006715,-0.006715,0,1,12.6889415,0.0095088,-0.0095088,0,1,7.9201001,0.5393766,-0.5393766,0,1,3232.8527885,235.25328,-235.25328,0,1,14.0608342,15.241591,-15.241591,0,1,425.1594177,1158.1310368,10.6257,0.006,-0.006,0,1,368.646,3.784,-3.784,0,1,7601.0,135.8,-135.8,0,1,4.31,0.08,-0.08,0,1,1.53641,0.0479799,-0.0479799,0,1,2019-04-01 16:52:03,2024-09-09 10:08:01,0.0,38.450851902743,0.0839609732422221,7.17897256982998,0.0260072261215274,56848.35457414954,0.2824165836207468,0.1523656146296539,0.1816795012525129,0
19,1017.01,1017,182943944,182943944.01,1,FP,08h18m54.34s,124.726411,-37d46m59.7s,-37.78325,-11.278,0.045,-0.045,0.0,1.0,9.593,0.045,-0.045,0.0,1.0,2458518.96536,0.00137,-0.00137,0,1,1.10422,0.00013,-0.00013,0,1,2.37,0.062,-0.062,0,1,14177.7,843.788,-843.788,0,1,21.0448,5.22012,-5.22012,0,1,39459.3,3926.0,10.6019,0.006,-0.006,0,1,406.997,4.7245,-4.7245,0,1,6995.2,157.0,-157.0,0,1,4.07,0.55,-0.55,0,1,1.61,0.07,-0.07,0,1,2019-07-24 17:08:12,2021-10-29 12:59:15,0.0,11.181974683544302,0.1199202233745512,50.2405685199152,0.089429642643676,1398.1556240990694,1.507030829178595,0.5612419945105215,0.814415034670158,0
20,1018.01,1018,291555748,291555748.01,1,FP,07h26m51.84s,111.716019,-50d15m59.64s,-50.266567,-8.018,0.049,-0.049,0.0,1.0,11.56,0.047,-0.047,0.0,1.0,2458492.78078,0.00073,-0.00073,0,1,4.95912,0.00016,-0.00016,0,1,2.509,0.13,-0.13,0,1,7440.0,197.962,-197.962,0,1,22.9123,3.28055,-3.28055,0,1,673.55,1419.0,10.6254,0.006,-0.006,0,1,360.541,2.9645,-2.9645,0,1,5889.0,124.3,-124.3,0,1,3.86,0.07,-0.07,0,1,2.0,0.09,-0.09,0,1,2019-04-01 16:52:01,2021-10-29 12:59:15,0.0,47.43677959346354,0.1051022935779816,34.37841156292997,0.0210806890469814,106744.52116739764,0.6877441697225625,0.2409577177789098,0.4182278367262247,0
22,102.01,102,149603524,149603524.01,1,KP,05h48m33.56s,87.139821,-63d59m17.98s,-63.988329,-15.641,0.037,-0.037,0.0,1.0,26.046,0.037,-0.037,0.0,1.0,2460187.916571,0.000126,-0.000126,0,1,4.4119378,8e-07,-8e-07,0,1,3.65,0.011,-0.011,0,1,15062.0,69.1814,-69.1814,0,1,15.4706,0.691963,-0.691963,0,1,653.252,1408.0,9.7109,0.006,-0.006,0,1,175.631,0.588,-0.588,0,1,6280.0,131.1,-131.1,0,1,4.32092,0.0853377,-0.0853377,0,1,1.21,0.05,-0.05,0,1,2019-05-07 17:42:37,2024-10-03 10:08:02,1.0,29.01000197260274,0.1172992645386306,33.62392878556756,0.0344708697691371,24414.24368130997,0.4498134627818178,0.2242038216560509,1.9657244669397207,0
23,1020.01,1020,140706664,140706664.01,1,FP,08h33m31.67s,128.381976,-43d49m42.32s,-43.828421,-5.814,0.051,-0.051,0.0,1.0,4.328,0.047,-0.047,0.0,1.0,2458521.29108,0.00241,-0.00241,0,1,3.28892,0.00066,-0.00066,0,1,3.793,0.202,-0.202,0,1,10518.9,530.608,-530.608,0,1,9.7575887,0.6874487,-0.6874487,0,1,29832.6,3661.0,10.7173,0.013,-0.013,0,1,906.827,23.8635,-23.8635,0,1,8734.2,283.6,-283.6,0,1,4.1,1.45,-1.45,0,1,1.21069,0.06,-0.06,0,1,2019-07-24 17:08:12,2021-10-29 12:59:15,0.0,20.81046137621935,0.0739406143482816,27.03972811854658,0.0480527549063725,9012.496859648005,0.5474327164022379,0.4191568775617686,0.5433132874623938,0
24,1021.01,1021,143994283,143994283.01,1,FP,07h57m12.18s,119.30075,-42d59m56.94s,-42.999149,-3.211,0.046,-0.046,0.0,1.0,-15.082,0.051,-0.051,0.0,1.0,2458492.90429,0.00426,-0.00426,0,1,1.90879,0.00035,-0.00035,0,1,1.909,0.231,-0.231,0,1,618.482,1.43774,-1.43774,0,1,3.34688,0.217749,-0.217749,0,1,985.807,1561.0,10.5551,0.006,-0.006,0,1,235.974,1.579,-1.579,0,1,6022.6,133.5,-133.5,0,1,4.52,0.39,-0.39,0,1,1.22,0.05,-0.05,0,1,2019-07-24 17:08:12,2021-10-29 12:59:15,0.0,23.997359874279727,0.0251682959843585,13.027395673928476,0.0416712507225345,13819.43836459596,0.7928439744598056,0.2591903828911101,0.0370925819320836,0
26,1023.01,1023,238374636,238374636.01,1,FP,08h03m21.05s,120.837688,-51d20m44.25s,-51.345626,-23.366,0.042,-0.042,0.0,1.0,22.652,0.04,-0.04,0.0,1.0,2459303.303969,0.003015,-0.003015,0,1,1.3214483,2.31e-05,-2.31e-05,0,1,3.435,0.071,-0.071,0,1,2180.0,137.946,-137.946,0,1,21.8839,4.01475,-4.01475,0,1,35623.2,3827.0,9.697,0.006,-0.006,0,1,316.398,2.247,-2.247,0,1,5050.8,86.8,-86.8,0,1,3.56,0.4,-0.4,0,1,2.99,0.15,-0.15,0,1,2019-07-24 18:44:12,2021-12-07 16:02:02,0.0,9.23282655021834,0.067147065140683,13.59256772044105,0.1083091937838203,787.0530942789725,2.482967703378041,0.7577017502177873,0.2881751272502962,0
27,1024.01,1024,141482386,141482386.01,1,FP,05h47m16.97s,86.820714,-72d25m21.4s,-72.422611,1.128,0.044,-0.044,0.0,1.0,11.563,0.047,-0.047,0.0,1.0,2458339.72276,0.00592,-0.00592,0,1,18.0157,0.00015,-0.00015,0,1,2.524,0.403,-0.403,0,1,610.0,1.66317,-1.66317,0,1,21.644,0.6874487,-0.6874487,0,1,7.64364,463.0,10.0814,0.006,-0.006,0,1,692.266,12.113,-12.113,0,1,4709.0,122.0,-122.0,0,1,4.35,0.0853377,-0.0853377,0,1,7.61,0.06,-0.06,0,1,2019-07-24 18:44:12,2021-10-29 12:59:15,0.0,171.30618066561013,0.0260931415689158,9.78533204059308,0.0058375009945029,5027118.20723851,1.107347414326882,0.0983223614355489,0.0565939276175977,0
29,1026.01,1026,388624270,388624270.01,1,FP,08h21m44.31s,125.434634,-51d45m33.99s,-51.759442,47.228,0.047,-0.047,0.0,1.0,-6.325,0.039,-0.039,0.0,1.0,2460720.807674,0.00363,-0.00363,0,1,14.2628757,3.85e-05,-3.85e-05,0,1,6.9350494,0.466316,-0.466316,0,1,913.2067174,37.2772746,-37.2772746,0,1,2.4765813,0.1510812,-0.1510812,0,1,153.2069421,980.3628831,9.9138,0.006,-0.006,0,1,105.677,0.2575,-0.2575,0,1,5690.0,129.0,-129.0,0,1,4.58,0.08,-0.08,0,1,0.853898,0.0413895,-0.0413895,0,1,2019-06-11 14:45:00,2025-09-02 16:00:02,0.0,49.3592759122956,0.0266084817598801,4.357475858727486,0.0202596164858021,120255.88541093565,0.1451892955576572,0.1722957615289982,0.0988664857899316,0
33,1028.01,1028,447283466,447283466.01,1,FP,10h28m23.6s,157.098337,-51d42m19.47s,-51.705409,30.65,0.054,-0.054,0.0,1.0,-33.906,0.056,-0.056,0.0,1.0,2458544.48066,0.00412,-0.00412,0,1,1.01606,0.00034,-0.00034,0,1,2.843,0.278,-0.278,0,1,240.0,0.375709,-0.375709,0,1,1.20704,0.0989898,-0.0989898,0,1,2784.04,2023.0,7.9059,0.006,-0.006,0,1,23.7748,0.02025,-0.02025,0,1,4634.0,120.9,-120.9,0,1,4.64,0.09,-0.09,0,1,0.68,0.05,-0.05,0,1,2019-07-24 18:44:12,2021-10-29 12:59:15,0.0,8.577361941610974,0.0162849433351322,5.449149977076915,0.1165859627712274,631.0462780305933,0.6728155336674877,0.4365558912386706,0.165139605093626,0
34,1029.01,1029,374908020,374908020.01,1,FP,05h54m57.38s,88.73909,-65d57m31.82s,-65.958839,-1.648,0.055,-0.055,0.0,1.0,-4.3915,0.052,-0.052,0.0,1.0,2458365.89313,0.00096,-0.00096,0,1,36.22214,0.00046,-0.00046,0,1,5.107,0.188,-0.188,0,1,7170.0,228.173,-228.173,0,1,9.7575887,0.6874487,-0.6874487,0,1,504.879,1265.0,6.841,0.0,0.0,0,1,273.696,2.504,-2.504,0,1,5780.0,131.1,-131.1,0,1,4.35,0.0853377,-0.0853377,0,1,1.21069,0.06,-0.06,0,1,2019-06-11 14:45:03,2021-12-07 16:02:02,0.0,170.22348932837284,0.0739406143482816,16.580350992768,0.0058746298994666,4932402.009147401,0.1105902616026125,0.2188581314878892,13.155857347607215,0
35,103.01,103,336732616,336732616.01,1,KP,20h49m49.8s,312.457488,-24d25m43.3s,-24.428694,10.426,0.07,-0.07,0.0,1.0,15.62,0.051,-0.051,0.0,1.0,2458327.25256,0.000586,-0.000586,0,1,3.547854,0.000149,-0.000149,0,1,3.494333,0.049205,-0.049205,0,1,10424.3718,123.359314,-123.359314,0,1,14.581841,0.196435,-0.196435,0,1,1212.004376,1504.858953,11.5232,0.008,-0.008,0,1,411.211,7.752,-7.752,0,1,6351.0,131.1,-131.1,0,1,4.22896,0.0853377,-0.0853377,0,1,1.4,0.06,-0.06,0,1,2018-09-05 18:49:20,2024-09-07 10:08:02,1.0,24.367596333835383,0.0955559698558322,29.218684346434667,0.0410381059461108,14468.985285735853,0.6018443797540922,0.2369483471894189,0.2563125626050572,0
