Feature,Importance,is_engineered
eng_transit_probability,0.09543269,True
pl_trandurherr1,0.08848122,False
st_disterr2,0.053545106,False
st_rad,0.050108228,False
st_disterr1,0.0489959,False
pl_orbper,0.046121757,False
pl_trandep,0.04593718,False
st_teff,0.04544482,False
eng_prad_srad_ratio,0.04358602,True
pl_orbpererr1,0.041288894,False
st_tefferr2,0.0403224,False
eng_period_duration_ratio,0.0371518,True
st_dist,0.03673793,False
pl_trandurh,0.036309216,False
pl_trandeperr1,0.03380988,False
st_tmagerr1,0.03368054,False
pl_tranmid,0.033209726,False
pl_tranmiderr1,0.03288276,False
eng_duration_period_ratio,0.032436088,True
st_loggerr2,0.032171607,False
pl_trandurherr2,0.032060374,False
pl_trandeperr2,0.030672414,False
st_tmagerr2,0.029613433,False
