Feature,Importance,is_engineered
pl_orbper,4045.033368153614,False
pl_trandurh,3824.284346714616,False
pl_trandurherr2,3787.4244311004877,False
pl_tranmid,3402.704944424331,False
st_tefferr2,2954.267418535659,False
pl_tranmiderr1,2942.9871296009514,False
st_teff,2888.7873948663473,False
eng_transit_probability,2861.5836462797597,True
pl_trandeperr2,2816.2622842416167,False
st_disterr2,2798.504249360849,False
eng_prad_srad_ratio,2791.9416605290025,True
pl_orbpererr1,2739.3901022211066,False
pl_trandep,2436.676375550567,False
st_rad,2386.393777795136,False
st_dist,2286.0759637206793,False
pl_trandurherr1,2022.863583754748,False
eng_duration_period_ratio,2016.5899893566966,True
eng_period_duration_ratio,1946.2166696661152,True
st_loggerr2,1608.4338332377374,False
st_disterr1,1366.790527086705,False
pl_trandeperr1,1077.870868069891,False
st_tmagerr2,409.53908944129944,False
st_tmagerr1,41.361820220947266,False
